LAT,LON,EMP_WAC,POP10
37.7116,-122.4689,4,116
37.7250,-122.4448,4,1
37.7213,-122.4396,2,237
37.7742,-122.4194,115,0
37.7741,-122.4127,296,196
37.7752,-122.4065,1,10
37.7848,-122.3969,400,99
37.7530,-122.4191,129,203
37.7467,-122.4171,5,205
37.7453,-122.4126,7,277
37.7387,-122.4075,6,0
37.7380,-122.4091,45,130
37.7362,-122.4103,6,160
37.7542,-122.3954,5,169
37.7393,-122.4003,0,0
37.7747,-122.3941,77,515
37.8247,-122.3690,0,0
37.7793,-122.4798,30,249
37.7736,-122.4816,28,154
37.7756,-122.4796,10,198
37.7724,-122.4757,0,0
37.7777,-122.4743,29,176
37.7817,-122.4721,0,1
37.7817,-122.4702,100,285
37.7777,-122.4732,7,246
37.7086,-122.4640,3,134
37.7625,-122.4808,48,146
37.7586,-122.4827,164,209
37.7626,-122.4787,168,279
37.7628,-122.4744,72,252
37.7590,-122.4752,7,162
37.7629,-122.4711,86,11
37.7563,-122.4944,5,147
37.7544,-122.4950,0,0
37.7525,-122.4955,0,0
37.7774,-122.4528,1,104
37.7746,-122.4521,18,120
37.7781,-122.4474,0,115
37.7712,-122.4531,0,0
37.7697,-122.4528,29,159
37.7702,-122.4495,284,219
37.7656,-122.4465,8,351
37.7635,-122.4502,9,68
37.7621,-122.4485,4,120
37.7594,-122.4480,1,19
37.7612,-122.4460,1,138
37.7597,-122.4467,1,62
37.7776,-122.4189,151,39
37.7730,-122.4162,286,56
37.7722,-122.4159,3,28
37.7691,-122.4090,67,0
37.7809,-122.4072,363,152
37.7789,-122.4067,213,139
37.7774,-122.4055,149,215
37.7761,-122.4108,2,270
37.7767,-122.4094,79,94
37.7707,-122.4139,167,21
37.7645,-122.4158,0,0
37.7611,-122.4176,23,382
37.7210,-122.4112,1,93
37.7307,-122.4008,15,256
37.8109,-122.3631,0,0
37.7321,-122.3787,12,230
37.7608,-122.4226,2,143
37.7261,-122.4644,0,0
37.7511,-122.3992,1,40
37.7300,-122.4224,2,140
37.7633,-122.4545,3,70
37.7288,-122.3748,7,22
37.7750,-122.4116,123,148
37.7577,-122.4407,15,361
37.7743,-122.3938,0,0
37.7708,-122.3903,2,0
37.7624,-122.4830,63,153
37.7812,-122.4821,120,286
37.7813,-122.4811,42,219
37.7528,-122.4877,3,195
37.7509,-122.4875,3,140
37.7490,-122.4885,5,175
37.7454,-122.4861,24,151
37.7413,-122.4933,17,190
37.7394,-122.4939,0,0
37.7433,-122.4902,45,147
37.7395,-122.4921,14,192
37.7396,-122.4910,20,157
37.7358,-122.4937,0,0
37.7379,-122.4920,16,95
37.7488,-122.4644,1,72
37.7132,-122.4709,0,0
37.7469,-122.4623,2,30
37.7460,-122.4619,0,0
37.7464,-122.4579,24,26
37.7394,-122.4692,0,65
37.7440,-122.4650,0,76
37.7415,-122.4651,32,40
37.7149,-122.4719,1,0
37.7340,-122.4675,2,52
37.7356,-122.4650,3,13
37.7341,-122.4657,0,36
37.7452,-122.4580,0,48
37.7429,-122.4592,1,21
37.7649,-122.4119,506,0
37.7691,-122.4083,0,0
37.7685,-122.4074,4,6
37.7584,-122.4101,4,434
37.7599,-122.4085,1,125
37.7640,-122.4053,1,0
37.7626,-122.4067,12,115
37.7814,-122.4025,5756,122
37.7788,-122.4037,46,127
37.7748,-122.4026,63,98
37.7769,-122.4042,0,0
37.7739,-122.3999,2,0
37.7775,-122.4026,0,0
37.7763,-122.4006,263,46
37.7304,-122.4753,43,0
37.7443,-122.3955,12,0
37.7256,-122.4598,3,0
37.7280,-122.4684,0,91
37.7271,-122.4473,82,38
37.7175,-122.3991,0,0
37.7130,-122.4013,2,58
37.7259,-122.4459,2,0
37.7297,-122.3789,40,766
37.7223,-122.4489,119,25
37.7378,-122.4002,0,189
37.8263,-122.3701,0,0
37.7088,-122.4265,0,105
37.7345,-122.4900,1,80
37.7416,-122.4869,13,222
37.7417,-122.4847,29,164
37.7382,-122.4879,2,93
37.7380,-122.4848,295,213
37.7531,-122.4802,15,194
37.7514,-122.4779,4,168
37.7571,-122.4751,2,120
37.7555,-122.4728,0,57
37.7563,-122.4717,0,27
37.7548,-122.4716,2,72
37.7478,-122.4744,0,159
37.7479,-122.4722,2,123
37.7492,-122.4711,1,19
37.7123,-122.4717,0,0
37.7350,-122.4585,0,78
37.7545,-122.4571,0,47
37.7564,-122.4555,0,50
37.7135,-122.4742,0,0
37.7527,-122.4496,1,56
37.7486,-122.4433,0,187
37.7413,-122.4562,11,97
37.7456,-122.4527,0,0
37.7439,-122.4519,0,39
37.7165,-122.4851,0,0
37.7346,-122.4539,2,73
37.7398,-122.4501,4,39
37.7105,-122.4272,1,32
37.7443,-122.4447,18,155
37.7837,-122.3936,178,174
37.7801,-122.3958,54,49
37.7793,-122.3938,298,53
37.7786,-122.3938,23,0
37.7776,-122.3934,148,980
37.7666,-122.4048,0,2
37.7680,-122.4033,119,0
37.7653,-122.4053,0,0
37.7655,-122.4012,15,0
37.7667,-122.4004,44,0
37.7559,-122.4029,0,0
37.7642,-122.4020,153,0
37.7642,-122.4011,21,1
37.7656,-122.4002,61,0
37.7588,-122.4005,37,110
37.7664,-122.3996,4,0
37.7186,-122.4482,0,0
37.7296,-122.4395,1,34
37.7301,-122.4384,0,0
37.7129,-122.4332,0,55
37.7155,-122.4390,0,0
37.7159,-122.4398,2,0
37.7181,-122.4398,1,0
37.7197,-122.4386,1,0
37.7234,-122.4405,0,2
37.7190,-122.4108,0,0
37.7187,-122.4205,0,0
37.7174,-122.4234,0,0
37.7108,-122.4258,0,0
37.7335,-122.4786,0,0
37.7441,-122.4742,110,131
37.7403,-122.4749,4,154
37.7385,-122.4727,3,140
37.7386,-122.4716,1,128
37.7320,-122.4773,1,49
37.7323,-122.4962,0,71
37.7315,-122.4956,4,78
37.7310,-122.4947,5,101
37.7314,-122.4910,1,72
37.7332,-122.4868,6,144
37.7296,-122.4818,263,131
37.7239,-122.4746,1,45
37.7835,-122.4421,20,235
37.7818,-122.4412,1,85
37.7787,-122.4428,5,199
37.7835,-122.4404,69,17
37.7740,-122.4418,169,303
37.7779,-122.4341,22,219
37.7763,-122.4347,0,0
37.7728,-122.4365,35,202
37.7721,-122.4346,27,224
37.7685,-122.4442,147,259
37.7719,-122.4431,5,262
37.7606,-122.3968,17,110
37.7645,-122.3962,20,46
37.7378,-122.4073,0,0
37.7592,-122.3957,0,102
37.7533,-122.4136,7,226
37.7550,-122.4127,18,136
37.7501,-122.4136,4,230
37.7206,-122.3964,4,0
37.7220,-122.4002,0,0
37.7188,-122.3982,3,95
37.7191,-122.3972,0,0
37.7328,-122.3752,0,0
37.7473,-122.3821,0,0
37.7471,-122.3873,0,0
37.7447,-122.3796,265,0
37.7640,-122.5101,0,0
37.7648,-122.4917,3,0
37.7647,-122.4939,1,0
37.7647,-122.4949,1,0
37.7642,-122.5057,1,0
37.7659,-122.4808,0,0
37.7654,-122.4788,0,0
37.7620,-122.4699,0,0
37.7095,-122.4378,0,4
37.7318,-122.4823,11,58
37.7239,-122.4730,0,89
37.7191,-122.4734,5,53
37.7172,-122.4720,35,0
37.7139,-122.4725,16,0
37.8036,-122.4686,0,0
37.8023,-122.4692,1,0
37.8005,-122.4663,0,0
37.8022,-122.4581,0,0
37.8011,-122.4607,0,14
37.8009,-122.4590,4,0
37.7985,-122.4589,0,0
37.7857,-122.4662,8,286
37.7859,-122.4641,95,200
37.7582,-122.4453,0,87
37.7613,-122.4425,2,202
37.7590,-122.4444,5,52
37.7615,-122.4405,1,55
37.7702,-122.4358,7,124
37.7696,-122.4372,2,144
37.7681,-122.4370,78,166
37.7619,-122.4390,0,62
37.7806,-122.4278,32,220
37.7809,-122.4255,0,1
37.7755,-122.4303,3,266
37.7768,-122.4288,3,84
37.7425,-122.4182,0,108
37.7398,-122.4168,21,87
37.7396,-122.4149,19,105
37.7409,-122.4136,2,103
37.7355,-122.4164,1,117
37.7301,-122.4152,6,79
37.7387,-122.4155,4,32
37.7378,-122.4150,1,84
37.7353,-122.4133,0,92
37.7398,-122.4124,2,64
37.7421,-122.4101,0,46
37.7458,-122.4072,2,42
37.7443,-122.4075,6,97
37.7441,-122.4083,0,74
37.7404,-122.4600,0,0
37.7316,-122.4371,0,0
37.7312,-122.4358,1,0
37.7310,-122.4372,0,0
37.7316,-122.4348,0,0
37.7400,-122.4385,1,29
37.7427,-122.4365,1,0
37.7467,-122.4428,0,0
37.7340,-122.4486,0,13
37.7392,-122.4435,0,0
37.7416,-122.4488,0,4
37.7465,-122.4476,0,0
37.7293,-122.4417,0,0
37.7351,-122.4348,2,57
37.7851,-122.4619,13,39
37.7890,-122.4584,9,115
37.7862,-122.4598,18,156
37.8043,-122.4513,0,0
37.8003,-122.4568,143,0
37.8006,-122.4557,0,0
37.7980,-122.4524,0,83
37.8070,-122.4465,5,0
37.7990,-122.4467,130,174
37.7962,-122.4462,13,99
37.7879,-122.4529,132,99
37.7777,-122.4257,2,220
37.7745,-122.4284,2,130
37.7722,-122.4279,2,123
37.7828,-122.4233,159,86
37.7916,-122.4167,50,447
37.7710,-122.4277,12,219
37.7759,-122.4253,8,167
37.7775,-122.4239,8,24
37.7192,-122.4847,0,10
37.7731,-122.4247,3,140
37.7732,-122.4237,0,0
37.7756,-122.4202,40,0
